날씨,사고건수,사망자수,부상자수,사망확률,사고당 부상자
기타/불명,677,1,896,0.14771048744460857,1.3234859675036927
눈,193,1,256,0.5181347150259068,1.3264248704663213
맑음,29717,202,39565,0.6797456001615237,1.3313928054648854
비,2018,21,2779,1.0406342913776017,1.3771060455896929
안개,1,0,1,0.0,1.0
흐림,1307,18,1724,1.3771996939556235,1.3190512624330528
